Year,Season,SITE,Type,TEMP,DEPTH,Urchin_Density,Prop_urchins_exp,Gonad Index,Test_Diameter,Stipe_Density,Stipe_total,Log+1_PUR_Density,Residual_Prop_urchins_exp
2018,Summer,REF_090,REF,11,12.8,26.8125,1,2.015761561,41.16666667,0,0,3.32548556,0.260020056
2018,Summer,REF_091,REF,14,16.1,8.75,0.64243052,3.245417245,37.16666667,0.216450723,17,2.277267285,0.19054977
2018,Summer,REF_092,REF,13,16.5,7.125,0.844724026,3.395001562,32.59375,0.050929582,4,2.094945728,0.442953729
2018,Summer,REF_094,REF,10,9.5,33.5,0.989179816,1.214364854,36.93333333,0,0,3.540959324,0.189977647
2018,Summer,REF_095,REF,12,10.2,21.125,0.963243332,0.826153733,36.16666667,0,0,3.096708191,0.286142062
2018,Summer,REF_096,REF,12,7.2,28.6875,0.835310287,6.008911471,40.28125,0,0,3.390726082,0.077399209
2018,Summer,REF_097,REF,12,9.7,4,0.157891414,4.154848328,40.72727273,0.572957795,45,1.609437912,-0.110438726
2018,Summer,REF_099,REF,12,10.9,18,0.927010242,1.325177457,34.3125,0,0,2.944438979,0.291759642
2018,Summer,REF_100,REF,10,21,0.1875,0.0625,,,0,0,0.171850257,0.189285892
2018,Summer,REF_102,REF,12,10.2,26.375,0.881456713,4.811836104,37.0625,0,0,3.309630188,0.145834563
2018,Summer,REF_103,REF,14,8,27.8125,0.225949477,9.019100422,45.71428571,0,0,3.360809321,-0.523739081
2018,Summer,REF_104,REF,14,8,40.125,0.941474561,2.493751791,34.58064516,0,0,3.716616209,0.0939937
2018,Summer,REF_105,REF,14,7.5,4.8125,0.014573317,10.86976841,37.08333333,3.297690421,259,1.760010771,-0.295141256
2018,Summer,REF_106,REF,14,5.6,16.6875,0.06073256,11.02089223,40,2.342760762,184,2.872858175,-0.554844302
2018,Summer,REF_107,REF,15,6.8,6.0625,0.101993666,8.704679801,35.84210526,3.043042512,239,1.954799096,-0.26125781
2018,Summer,REF_108,REF,15,6.4,24.9375,0.337807367,11.86110171,40.70833333,0,0,3.255689798,-0.382989452
2018,Summer,REF_109,REF,13,9.2,27.625,0.993415453,2.049519849,34.5625,0,0,3.354280462,0.245521328
2018,Summer,REF_110,REF,13,11.8,20.125,0.882349857,1.052460121,36.75,0,0,3.050457173,0.217960521
2018,Summer,REF_111,REF,13,7.7,1.25,0,,,6.200676583,487,0.810930216,-0.048863041
2018,Summer,REF_112,REF,12,8.1,3.125,0.072679924,,,0.394704259,31,1.41706602,-0.142777461
2018,Summer,REF_113,REF,13,7.7,2.5625,0.045138889,,,10.6188178,834,1.270462546,-0.130025035
2018,Summer,REF_101B,REF,12,8.2,32.0625,0.959657263,5.191026993,36.4375,0,0,3.49839971,0.172152459
2018,Summer,REF_101F,REF,12,9.1,11.1875,0.297691175,10.16074577,40.25,9.651155749,758,2.500410836,-0.215519814
2018,Summer,REF_101M,REF,12,8.2,14.625,0.338017827,11.83232496,43.75,1.00585924,79,2.748872196,-0.243481914
2018,Summer,REF_X,REF,11,15,2.625,0.166666667,5.121633291,41.83333333,0.343774677,27,1.287854288,-0.013277318
2018,Summer,REF_Z,REF,11,15.2,2,0.141666667,10.53986578,33.77777778,0,0,1.098612289,0.013735196
2018,Summer,RT_043,RT,14,3.8,1,0.0625,9.90559971,38.57142857,1.909859317,150,0.693147181,0.046009222
2018,Summer,RT_044,RT,11,6.7,35,0.675605648,5.501521366,41.40625,0,0,3.583518938,-0.135293885
2018,Summer,RT_045,RT,13,4.1,3.875,0.02827381,6.757373582,41.16666667,10.64428259,836,1.584120104,-0.233097818
2018,Summer,RT_051,RT,11,9.7,1.4375,0,3.592295994,41.66666667,2.304563576,181,0.890972924,-0.070862505
2018,Summer,RT_052,RT,11,6.4,1.6875,0,4.404175002,37.16666667,2.979380535,234,0.988611393,-0.097698103
2018,Summer,RT_055,RT,12,8.4,4.375,0.113417659,5.51206339,41.78947368,0.674816959,53,1.681758574,-0.174789567
